"reference","tax","description","KO","Subject","percent","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","counts_25_CT_Ext_C1_2020","counts_26_CT_Ext_C2_2020","counts_27_CT_Ext_C3_2020","counts_28_CT_Ext_C4_2020","counts_41_CT_Ext_I1_2020","counts_42_CT_Ext_I2_2020","counts_43_CT_Ext_I3_2020","counts_44_CT_Ext_I4_2020","counts_M09_CT_Ext_C1_2021","counts_M10_CT_Ext_C2_2021","counts_M11_CT_Ext_C3_2021","counts_M12_CT_Ext_C4_2021","counts_M25_CT_Ext_I1_2021","counts_M26_CT_Ext_I2_2021","counts_M27_CT_Ext_I3_2021","counts_M28_CT_Ext_I4_2021","counts_M33_CT_Ext_C1_2022","counts_M34_CT_Ext_C2_2022","counts_M35_CT_Ext_C3_2022","counts_M36_CT_Ext_C4_2022","counts_M37_CT_Ext_I1_2022","counts_M38_CT_Ext_I2_2022","counts_M39_CT_Ext_I3_2022","counts_M40_CT_Ext_I4_2022"
"k87_3229751_2","COG0004@1|root,COG0004@2|Bacteria,2GIZK@201174|Actinobacteria,4FKS4@85023|Microbacteriaceae","Ammonium Transporter Family","ko:K03320","PGPT0000840_5819",91.2,136,12,0,1,408,1,136,4.2e-62,242.3,18,22,7,12,20,16,12,18,14,20,12,22,18,26,11,16,16,10,20,33,19,12,23,15
"k87_3229888_2","COG0004@1|root,COG0004@2|Bacteria,1NR9F@1224|Proteobacteria,1RNKF@1236|Gammaproteobacteria,1X39P@135614|Xanthomonadales","Ammonium transporter","ko:K03320","PGPT0000840_5410",99.5,423,0,1,103,1365,5,427,3.7e-216,755.7,130,95,63,71,163,106,105,125,132,154,101,101,111,122,112,118,104,513,117,104,139,139,125,125
"k87_3229888_3","COG0347@1|root,COG0347@2|Bacteria,1RGWK@1224|Proteobacteria,1S67I@1236|Gammaproteobacteria,1X6VI@135614|Xanthomonadales","at high nitrogen levels P-II prevents the phosphorylation of NR-I, the transcriptional activator of the glutamine synthetase gene (glnA)","ko:K04751,ko:K04752","PGPT0000675_1027",100,112,0,0,1,336,1,112,1.4e-55,220.3,24,20,20,27,30,30,31,17,30,25,21,10,38,19,16,7,17,125,10,20,36,27,34,28
"k87_3229888_5","COG0174@1|root,COG0174@2|Bacteria,1MUGQ@1224|Proteobacteria,1RMD1@1236|Gammaproteobacteria,1X3GI@135614|Xanthomonadales","highly regulated protein controlled by the addition removal of adenylyl groups by adenylyltransferase from specific tyrosine residues","ko:K01915","PGPT0000645_3501",100,224,0,0,1,672,246,469,1.9e-128,463.4,45,39,24,43,67,55,46,55,40,43,47,38,44,46,35,25,53,243,46,36,46,42,64,54
"k87_3230060_1","COG1212@1|root,COG1212@2|Bacteria,1MUUU@1224|Proteobacteria,1RMAE@1236|Gammaproteobacteria,1X3JD@135614|Xanthomonadales","Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria","ko:K00979","PGPT0023065_541",96.6,262,6,1,1,777,1,262,1.4e-138,497.3,35,40,48,35,81,68,76,54,49,44,36,62,26,30,32,43,40,283,44,47,60,42,58,56
"k87_3230060_2","COG0394@1|root,COG0394@2|Bacteria,1RH90@1224|Proteobacteria,1S5X6@1236|Gammaproteobacteria,1X78E@135614|Xanthomonadales","Belongs to the low molecular weight phosphotyrosine protein phosphatase family","ko:K01104","PGPT0014530_5526",96.2,157,6,0,1,471,1,157,1.9e-82,310.1,32,24,16,17,40,28,40,32,15,24,26,20,20,24,29,24,19,120,24,32,26,24,32,22
"k87_3230060_3","COG0322@1|root,COG0322@2|Bacteria,1MV38@1224|Proteobacteria,1RNGV@1236|Gammaproteobacteria,1X3C0@135614|Xanthomonadales","The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision","ko:K03703","PGPT0014925_1211",99.5,622,3,0,1,1866,1,622,0,1208.4,120,87,70,54,136,124,70,80,91,104,100,97,98,76,80,84,52,671,105,120,87,112,115,100
"k87_3230060_4","COG0558@1|root,COG0558@2|Bacteria,1RCZ7@1224|Proteobacteria,1S465@1236|Gammaproteobacteria,1X300@135614|Xanthomonadales","Belongs to the CDP-alcohol phosphatidyltransferase class-I family","ko:K00995","PGPT0007705_4121",100,184,0,0,22,573,1,184,9.6e-97,357.8,32,26,15,28,56,29,36,28,19,28,18,20,37,25,40,24,36,200,34,28,40,36,39,39
"k87_3230586_1","COG0459@1|root,COG0459@2|Bacteria,2GKC9@201174|Actinobacteria,4DNCJ@85009|Propionibacteriales","Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions","ko:K04077","PGPT0014570_5678",96.4,84,3,0,1,252,1,84,2.8e-40,169.1,42,38,26,33,49,52,34,46,31,22,30,30,32,34,30,33,43,25,32,28,36,29,39,52
"k87_3230586_2","COG0234@1|root,COG0234@2|Bacteria,2IKTH@201174|Actinobacteria,4DR0X@85009|Propionibacteriales","Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter","ko:K04078","PGPT0014565_1587",90.2,102,10,0,40,345,1,102,2.3e-45,186.4,80,70,69,55,85,60,79,88,41,58,62,52,55,59,73,48,62,60,79,72,61,63,68,101
"k87_3233109_4","COG1249@1|root,COG1249@2|Bacteria,1MU2U@1224|Proteobacteria,2TR8H@28211|Alphaproteobacteria","COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes","ko:K00382","PGPT0001380_7784",91.4,70,6,0,1,210,392,461,5.5e-29,131.3,16,13,8,13,18,18,21,19,14,17,13,14,11,12,23,8,11,7,18,16,12,10,15,10
"k87_3233248_1","COG0299@1|root,COG0299@2|Bacteria,2H8QB@201174|Actinobacteria","Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate","ko:K11175","PGPT0008095_1261",96.2,106,4,0,1,318,109,214,1.2e-51,207.2,14,11,9,7,44,22,13,37,22,18,24,13,22,18,22,7,14,28,19,17,26,31,26,17
"k87_3233389_1","COG1494@1|root,COG1494@2|Bacteria,2GMQU@201174|Actinobacteria,4FKDT@85023|Microbacteriaceae","Bacterial fructose-1,6-bisphosphatase, glpX-encoded","ko:K02446","PGPT0017655_1026",93.5,93,6,0,1,279,1,93,3.6e-41,172.2,16,13,14,16,24,22,28,14,18,28,20,21,7,16,16,15,14,13,26,22,12,14,16,20
"k87_3233389_2","COG0191@1|root,COG0191@2|Bacteria,2GM5P@201174|Actinobacteria,4FKPH@85023|Microbacteriaceae","Fructose-bisphosphate aldolase class-II","ko:K01624","PGPT0017615_2710",92.7,178,13,0,1,534,1,178,8.1e-90,334.7,55,65,43,45,71,63,57,54,34,48,48,53,54,55,58,43,60,26,60,72,55,66,51,87
"k87_3233588_2","COG3181@1|root,COG3181@2|Bacteria,1MXEX@1224|Proteobacteria,2TT5Y@28211|Alphaproteobacteria,3EZ44@335928|Xanthobacteraceae","PFAM conserved","-","PGPT0017360_1701",90.3,236,23,0,1,708,91,326,2.4e-118,429.9,24,14,22,8,32,22,20,26,15,24,14,16,10,18,20,16,9,28,18,20,24,20,24,24
"k87_3233964_3","COG1947@1|root,COG1947@2|Bacteria,1MVU3@1224|Proteobacteria,2VHK3@28216|Betaproteobacteria,4A9JU@80864|Comamonadaceae","Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol","ko:K00919","PGPT0007605_1546",92.7,41,3,0,1,123,11,51,2.3e-16,88.6,2,3,2,2,4,2,6,6,8,12,5,2,7,6,10,0,3,6,0,2,8,4,6,3
"k87_3234874_2","COG1024@1|root,COG1024@2|Bacteria,1N817@1224|Proteobacteria,2VKSK@28216|Betaproteobacteria,4AC2A@80864|Comamonadaceae","PFAM Enoyl-CoA hydratase isomerase","ko:K15513","PGPT0005185_35",94.4,248,14,0,1,744,1,248,2e-134,483.4,54,41,18,45,36,31,46,35,54,58,31,35,39,57,51,26,26,34,54,27,24,34,33,44
"k87_3235599_1","COG0832@1|root,COG0832@2|Bacteria,2IKR8@201174|Actinobacteria","Belongs to the urease beta subunit family","ko:K01429","PGPT0000960_964",97.1,102,3,0,1,306,1,102,2.8e-50,202.6,26,16,8,7,14,16,14,22,18,10,16,14,20,9,8,12,11,14,16,17,19,16,31,16
"k87_3235599_2","COG0804@1|root,COG0804@2|Bacteria,2GM7X@201174|Actinobacteria","Belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family","ko:K01428","PGPT0000965_172",94.2,552,32,0,1,1656,4,555,0,1063.9,108,97,84,66,118,131,130,116,95,132,103,74,91,110,106,95,85,95,164,145,143,175,136,125
"k87_3236139_1","COG3842@1|root,COG3842@2|Bacteria,1MU3I@1224|Proteobacteria,2TQQJ@28211|Alphaproteobacteria,4B8N5@82115|Rhizobiaceae","Part of the ABC transporter complex UgpABCE involved in sn-glycerol-3-phosphate import. Responsible for energy coupling to the transport system","ko:K05816","PGPT0016850_58",90,150,15,0,1,450,1,150,3.6e-67,259.2,50,26,16,20,23,32,39,34,16,32,31,32,21,18,41,22,27,36,38,40,18,26,31,32
"k87_3236139_2","COG0395@1|root,COG0395@2|Bacteria,1MUWS@1224|Proteobacteria,2TSYA@28211|Alphaproteobacteria,4B733@82115|Rhizobiaceae","probably responsible for the translocation of the substrate across the membrane","ko:K05815","PGPT0016845_1159",92.6,189,14,0,1,567,92,280,5.2e-95,352.1,6,23,10,6,18,24,14,26,22,4,14,20,24,14,18,22,24,17,22,26,18,22,24,30
"k87_3236391_1","COG0403@1|root,COG1003@1|root,COG0403@2|Bacteria,COG1003@2|Bacteria,1MUDP@1224|Proteobacteria,1RND3@1236|Gammaproteobacteria,1X35C@135614|Xanthomonadales","The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor","ko:K00281,ko:K00283","PGPT0020480_3016",99,707,7,0,67,2187,1,707,0,1391.3,201,167,130,170,254,216,215,231,253,218,221,158,170,184,247,174,184,800,223,230,274,248,271,227
"k87_3236391_3","COG0477@1|root,COG2814@2|Bacteria,1MW19@1224|Proteobacteria,1RMSZ@1236|Gammaproteobacteria,1X47N@135614|Xanthomonadales","Major facilitator superfamily","ko:K07552","PGPT0029005_1538",98.3,411,7,0,1,1233,1,411,5.2e-225,785,59,59,62,45,48,60,54,59,65,52,54,46,50,42,61,60,46,488,42,65,67,84,58,49
"k87_3236391_4","COG3511@1|root,COG3511@2|Bacteria,1MWVP@1224|Proteobacteria,1RYB5@1236|Gammaproteobacteria,1X4GT@135614|Xanthomonadales","phospholipase C","ko:K01114","PGPT0023510_859",97.7,693,16,0,1,2079,1,693,0,1430.6,104,65,57,50,103,114,72,112,79,112,80,62,117,68,65,80,54,683,123,101,78,98,107,118
"k87_3236391_5","COG0531@1|root,COG0531@2|Bacteria,1MUA2@1224|Proteobacteria,1RRKS@1236|Gammaproteobacteria,1X43D@135614|Xanthomonadales","Amino acid permease","ko:K03294,ko:K03759","PGPT0020810_6307",96.7,426,13,1,1,1278,1,425,1.1e-220,770.8,75,57,26,36,83,68,67,52,51,42,71,56,38,32,66,40,52,380,70,53,54,42,60,53
"k87_3236391_6","COG4638@1|root,COG4638@2|Bacteria,1MWXW@1224|Proteobacteria,1S9NJ@1236|Gammaproteobacteria,1X5C8@135614|Xanthomonadales","COG4638 Phenylpropionate dioxygenase and related ring-hydroxylating dioxygenases, large terminal subunit","ko:K00499,ko:K16319","PGPT0013610_430",95.5,374,17,0,1,1122,1,374,2.2e-214,749.6,50,43,51,60,77,43,60,81,72,63,58,27,39,60,50,59,35,411,53,50,54,107,63,75
"k87_3236672_1","COG2160@1|root,COG2160@2|Bacteria,2GJNB@201174|Actinobacteria,4FKAE@85023|Microbacteriaceae","Catalyzes the conversion of L-arabinose to L-ribulose","ko:K01804","PGPT0017450_104",92.5,307,23,0,1,921,198,504,5.2e-161,572,49,35,53,76,98,59,101,69,75,83,78,51,58,59,71,51,57,38,86,86,61,84,69,85
"k87_3237323_2","COG1210@1|root,COG1210@2|Bacteria,1MV5F@1224|Proteobacteria,2TRT6@28211|Alphaproteobacteria,43HCN@69277|Phyllobacteriaceae","UTP-glucose-1-phosphate uridylyltransferase","ko:K00963","PGPT0014875_2264",94.1,286,17,0,1,858,1,286,1.1e-157,560.8,30,6,13,8,14,7,18,25,12,12,12,6,23,20,16,14,8,18,16,23,16,22,10,12
"k87_3237926_1","COG1063@1|root,COG1063@2|Bacteria,2GKC7@201174|Actinobacteria,4GDMM@85026|Gordoniaceae","Zinc-binding dehydrogenase","ko:K00008","PGPT0017541_1089",94.2,189,11,0,1,567,164,352,1.2e-96,357.5,41,39,30,30,34,42,27,38,42,31,23,20,50,34,39,56,25,27,38,36,44,43,31,48
"k87_3238301_2","COG1596@1|root,COG1596@2|Bacteria,1MXYS@1224|Proteobacteria,2U93S@28211|Alphaproteobacteria,43I2F@69277|Phyllobacteriaceae","COG1596 Periplasmic protein involved in polysaccharide export","ko:K01991","PGPT0025530_4235",96.8,95,3,0,46,330,1,95,2.6e-46,189.5,4,5,2,4,3,0,2,2,6,4,4,8,6,2,2,0,3,4,0,10,8,2,4,2
"k87_3239601_1","COG2011@1|root,COG2011@2|Bacteria,1MW8E@1224|Proteobacteria,2TU01@28211|Alphaproteobacteria,1JTXK@119045|Methylobacteriaceae","PFAM binding-protein-dependent transport systems inner membrane component","ko:K02072","PGPT0020515_2065",91.1,191,17,0,1,573,1,191,9.5e-87,324.7,41,38,20,17,46,48,32,42,43,45,38,31,44,39,24,28,11,23,44,34,50,36,36,26
"k87_3243409_2","COG0556@1|root,COG0556@2|Bacteria,1MUFK@1224|Proteobacteria,2TQSP@28211|Alphaproteobacteria,2K0F9@204457|Sphingomonadales","damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage","ko:K03702","PGPT0014920_546",93.3,269,18,0,1,807,1,269,9.8e-140,501.1,71,69,47,39,104,61,55,60,48,58,50,45,58,47,58,52,57,43,59,78,69,64,63,75
"k87_3245419_1","COG0623@1|root,COG0623@2|Bacteria,1MV05@1224|Proteobacteria,2TSU4@28211|Alphaproteobacteria,3ZGM5@58840|unclassified Rhodobacteraceae","Enoyl- acyl-carrier-protein reductase NADH","ko:K00208","PGPT0008370_676",90.1,121,12,0,1,363,154,274,1.8e-56,223.4,40,35,25,29,34,29,41,37,16,41,36,39,27,31,28,31,20,12,49,35,31,41,36,43
"k87_3247117_2","COG0688@1|root,COG0688@2|Bacteria,1MW45@1224|Proteobacteria,2TRMG@28211|Alphaproteobacteria,43IMM@69277|Phyllobacteriaceae","Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer)","ko:K01613","PGPT0007700_3766",97,134,4,0,1,402,1,134,3.3e-72,275.8,4,6,2,8,8,6,0,4,2,1,4,0,4,4,0,4,2,2,4,4,4,2,4,6
"k87_3247792_1","COG1294@1|root,COG1294@2|Bacteria,2GMFV@201174|Actinobacteria,4FKHZ@85023|Microbacteriaceae","Cytochrome bd terminal oxidase subunit II","ko:K00426","PGPT0026705_3810",93.8,144,9,0,1,432,1,144,6.5e-74,281.6,14,18,21,12,20,20,30,24,22,32,20,12,13,21,23,8,22,20,26,35,30,16,28,20
"k87_3247886_2","COG0008@1|root,COG0008@2|Bacteria,1MUCR@1224|Proteobacteria,2TRSU@28211|Alphaproteobacteria,2JQAZ@204441|Rhodospirillales","Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu)","ko:K01885","PGPT0008460_3274",94,50,3,0,1,150,1,50,6.5e-21,104,7,15,9,6,22,7,15,19,10,3,17,6,14,10,13,14,2,7,16,14,12,18,11,12
"k87_3249335_3","COG0403@1|root,COG0403@2|Bacteria,1MVC1@1224|Proteobacteria,2TR6C@28211|Alphaproteobacteria,1JZ67@119045|Methylobacteriaceae","Glycine cleavage system P-protein","ko:K00282","PGPT0020485_950",98.1,419,8,0,1,1257,1,419,6.5e-231,804.7,34,53,39,29,78,55,46,58,31,57,63,36,48,52,51,38,45,47,38,63,43,59,52,54
"k87_3250048_5","COG0541@1|root,COG0541@2|Bacteria,1MVIA@1224|Proteobacteria,1RMU9@1236|Gammaproteobacteria,1X3G5@135614|Xanthomonadales","Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY. Interaction with FtsY leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components","ko:K03106","PGPT0025750_3621",99.4,169,1,0,1,507,287,455,4e-46,189.5,37,45,26,22,44,41,43,27,45,37,32,44,30,38,34,28,39,196,54,52,54,51,40,82
"k87_3252709_1","COG0573@1|root,COG0573@2|Bacteria,1MVKP@1224|Proteobacteria,2TQU1@28211|Alphaproteobacteria,43HHQ@69277|Phyllobacteriaceae","probably responsible for the translocation of the substrate across the membrane","ko:K02037","PGPT0002620_939",100,43,0,0,1,129,420,462,9.4e-16,86.7,20,11,10,3,15,14,4,12,11,12,12,9,4,11,13,8,10,6,8,11,12,4,14,6
"k87_3252709_2","COG0581@1|root,COG0581@2|Bacteria,1MUWB@1224|Proteobacteria,2TQYQ@28211|Alphaproteobacteria,43HVK@69277|Phyllobacteriaceae","Phosphate transport system permease","ko:K02038","PGPT0002610_656",92.6,537,40,0,1,1611,1,537,5.9e-269,931.4,58,63,56,56,68,76,68,75,66,84,49,64,55,76,49,65,61,43,75,67,87,50,62,100
"k87_3253338_2","COG1427@1|root,COG1427@2|Bacteria,2GJGY@201174|Actinobacteria","Catalyzes the dehydration of chorismate into 3- (1- carboxyvinyl)oxy benzoate, a step in the biosynthesis of menaquinone (MK, vitamin K2)","ko:K11782","PGPT0009415_229",90.8,282,26,0,1,846,1,282,1.3e-147,527.3,42,31,27,23,39,56,42,52,15,50,21,41,37,40,38,34,34,20,42,47,60,44,34,33
"k87_3253610_1","COG1063@1|root,COG1063@2|Bacteria,2GKC7@201174|Actinobacteria,4GDMM@85026|Gordoniaceae","Zinc-binding dehydrogenase","ko:K00008","PGPT0017541_1095",92.1,126,10,0,1,378,227,352,3.6e-60,235.7,20,26,12,11,27,18,36,16,12,8,17,22,13,23,24,25,10,14,36,16,10,16,22,18
"k87_3253771_3","COG0183@1|root,COG0183@2|Bacteria,1MU5G@1224|Proteobacteria,2TQQ7@28211|Alphaproteobacteria,4B940@82115|Rhizobiaceae","Belongs to the thiolase family","ko:K00626","PGPT0008320_9391",93.4,393,26,0,1,1179,1,393,3.4e-205,719.2,49,61,23,40,56,57,34,32,53,61,71,31,57,58,50,45,38,61,57,61,77,63,73,70
"k87_3253771_11","COG0821@1|root,COG0821@2|Bacteria,1MUAX@1224|Proteobacteria,2TQSI@28211|Alphaproteobacteria,4BA1R@82115|Rhizobiaceae","Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate","ko:K03526","PGPT0007580_1019",91.2,331,29,0,1,993,87,417,4.4e-174,615.5,74,68,32,55,63,62,82,42,36,87,52,44,77,68,80,59,63,73,68,89,83,59,76,98
"k87_3254145_2","COG3842@1|root,COG3842@2|Bacteria,2GJCM@201174|Actinobacteria,4FKGH@85023|Microbacteriaceae","Belongs to the ABC transporter superfamily","ko:K10112","PGPT0016310_3396",95.8,71,3,0,1,213,296,366,3.7e-33,145.2,24,15,19,12,27,30,18,38,10,24,11,25,21,14,10,16,28,16,31,26,26,25,29,30
"k87_3254441_5","COG0174@1|root,COG0174@2|Bacteria,2GKU9@201174|Actinobacteria","glutamine synthetase","ko:K01915","PGPT0000645_10841",100,103,0,0,1,309,240,342,6.9e-57,224.6,8,22,28,19,14,25,26,24,20,32,31,15,27,19,11,32,27,16,24,24,24,28,22,36
"k87_3255365_1","COG0022@1|root,COG0022@2|Bacteria,2GKFE@201174|Actinobacteria,4FMR7@85023|Microbacteriaceae","Transketolase, pyrimidine binding domain","ko:K00162","PGPT0008862_919",93.8,227,14,0,1,681,1,227,6.4e-116,421.8,33,40,33,38,50,59,26,46,31,39,46,22,27,26,16,36,38,29,27,36,41,28,37,44
"k87_3256527_2","COG1960@1|root,COG1960@2|Bacteria,2GKQI@201174|Actinobacteria,233QZ@1762|Mycobacteriaceae","acyl-CoA dehydrogenase","ko:K00249","PGPT0008385_3125",94.1,253,15,0,13,771,157,409,8.8e-138,494.6,52,62,37,37,82,61,45,45,35,61,34,52,41,47,40,42,39,49,52,55,44,44,41,70
"k87_3257688_1","COG1653@1|root,COG1653@2|Bacteria,2GK12@201174|Actinobacteria,4FNBX@85023|Microbacteriaceae","Bacterial extracellular solute-binding protein","ko:K02027","PGPT0016545_5493",90.8,109,10,0,115,441,37,145,3.8e-53,212.6,16,6,18,14,30,30,34,24,19,24,14,30,26,26,16,20,12,10,40,28,26,24,18,30
"k87_3260283_1","COG0321@1|root,COG0321@2|Bacteria,2GJIX@201174|Actinobacteria,4FFX5@85021|Intrasporangiaceae","Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate","ko:K03801","PGPT0003925_3371",91.8,98,7,1,1,291,1,98,3.9e-46,188.7,29,25,22,24,45,26,21,25,21,20,23,24,30,10,14,23,22,18,43,27,38,16,28,34
"k87_3261350_1","COG0747@1|root,COG0747@2|Bacteria,1MUP8@1224|Proteobacteria,2TQXX@28211|Alphaproteobacteria,4BDFF@82115|Rhizobiaceae","Bacterial extracellular solute-binding proteins, family 5 Middle","ko:K02035","PGPT0004430_4560",98.2,384,7,0,1,1152,98,481,1.4e-219,766.9,20,12,18,15,26,18,14,26,20,16,14,14,20,16,14,10,27,10,32,20,26,10,4,28
"k87_3262168_1","COG0462@1|root,COG0462@2|Bacteria,1MW21@1224|Proteobacteria,2TR4Y@28211|Alphaproteobacteria,43GQ8@69277|Phyllobacteriaceae","Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)","ko:K00948","PGPT0021480_5863",98.1,310,6,0,1,930,1,310,3.3e-163,579.3,22,6,12,21,12,9,10,14,11,20,27,8,12,18,25,16,28,32,10,46,28,24,24,18
"k87_3262168_3","COG0006@1|root,COG0006@2|Bacteria,1NTWB@1224|Proteobacteria,2TRKF@28211|Alphaproteobacteria,43HFJ@69277|Phyllobacteriaceae","Xaa-Pro aminopeptidase","ko:K01271","PGPT0006760_1806",91.2,238,21,0,1,714,146,383,2.8e-122,443,4,6,6,6,8,6,8,4,0,2,5,12,2,6,2,2,10,6,12,11,10,0,4,6
"k87_3262475_1","COG0704@1|root,COG0704@2|Bacteria,2GKAD@201174|Actinobacteria,1W948@1268|Micrococcaceae","Plays a role in the regulation of phosphate uptake","ko:K02039","PGPT0002630_3314",93.7,127,8,0,1,381,1,127,7.1e-56,221.5,11,6,2,6,22,10,20,13,8,6,10,12,4,7,3,4,9,11,7,12,4,24,16,8
"k87_3262475_3","COG0745@1|root,COG0745@2|Bacteria,2GKFS@201174|Actinobacteria,1W7VB@1268|Micrococcaceae","Transcriptional regulatory protein, C terminal","ko:K07776","PGPT0002675_660",95.2,42,2,0,1,126,1,42,1.7e-14,82.4,7,2,2,4,0,1,0,4,2,0,2,4,2,3,2,2,3,2,2,3,2,0,2,2
"k87_3262502_2","COG0664@1|root,COG0664@2|Bacteria,1MXID@1224|Proteobacteria,1RMIZ@1236|Gammaproteobacteria,1X3QC@135614|Xanthomonadales","Transcriptional regulator","ko:K10914","PGPT0015075_2179",100,229,0,0,1,687,1,229,2e-125,453.4,30,27,16,18,32,34,20,12,28,29,25,16,22,24,21,18,15,218,16,34,42,40,39,34
"k87_3262502_3","COG1586@1|root,COG1586@2|Bacteria,1MXPT@1224|Proteobacteria,1RQSX@1236|Gammaproteobacteria,1X32W@135614|Xanthomonadales","Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine","ko:K01611","PGPT0007760_1478",99.5,220,1,0,13,672,1,220,5e-121,438.7,28,16,26,18,48,41,24,39,27,37,46,24,28,8,32,38,27,221,27,22,36,48,42,44
"k87_3263606_2","COG0837@1|root,COG0837@2|Bacteria,1MVFI@1224|Proteobacteria,2U0CA@28211|Alphaproteobacteria,43I31@69277|Phyllobacteriaceae","Belongs to the bacterial glucokinase family","ko:K00845","PGPT0017730_469",98.1,265,5,0,1,795,78,342,1.3e-147,527.3,6,18,6,8,24,28,4,28,14,4,18,16,14,8,18,10,16,15,16,20,14,10,16,33
"k87_3265939_1","COG1172@1|root,COG1172@2|Bacteria,1MVKQ@1224|Proteobacteria,2TTT3@28211|Alphaproteobacteria","Belongs to the binding-protein-dependent transport system permease family","ko:K02057,ko:K10440","PGPT0016590_705",100,75,0,0,1,225,279,353,2.3e-30,136,6,10,4,8,4,4,12,2,0,4,0,8,2,4,4,2,8,4,14,4,4,2,4,9
"k87_3265939_2","COG1172@1|root,COG1172@2|Bacteria,1PRXF@1224|Proteobacteria,2TV5I@28211|Alphaproteobacteria","Belongs to the binding-protein-dependent transport system permease family","ko:K10440","PGPT0016590_5472",97.2,318,9,0,31,984,1,318,1.4e-159,567.4,34,30,16,52,56,41,45,42,28,38,40,35,22,31,43,42,32,22,48,36,48,40,46,46
"k87_3266965_3","COG0831@1|root,COG0831@2|Bacteria,2IKNA@201174|Actinobacteria,239Y9@1762|Mycobacteriaceae","Belongs to the urease gamma subunit family","ko:K01430","PGPT0000955_69",90.6,106,10,0,1,318,1,106,9.2e-49,197.6,12,10,16,11,26,26,22,13,10,13,10,25,12,20,16,16,11,6,20,29,14,15,34,9
"k87_3266965_5","COG0804@1|root,COG0804@2|Bacteria,2GM7X@201174|Actinobacteria,236C1@1762|Mycobacteriaceae","Belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family","ko:K01428","PGPT0000965_329",93.3,448,30,0,1,1344,1,448,3.4e-246,855.5,58,56,43,51,94,82,80,81,64,68,71,61,57,57,39,42,48,84,87,79,64,70,53,77
"k87_3268354_1","COG1263@1|root,COG1264@1|root,COG1263@2|Bacteria,COG1264@2|Bacteria,1TP5X@1239|Firmicutes,4H9KS@91061|Bacilli,1ZE6P@1386|Bacillus","phosphotransferase system","ko:K02808,ko:K02809,ko:K02810","PGPT0014190_1334",99.7,328,1,0,1,984,128,455,3.8e-162,575.9,8,2,4,2,26,8,8,6,2,12,8,2,18,8,15,6,4,0,10,8,4,4,6,10
