Subject,Factor,Type,Pfams
PGPT0013835,phaC,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_OSMOTIC_STRESS;OSMOTIC_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF00420
PGPT0013840,phaD,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_OSMOTIC_STRESS;OSMOTIC_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF00361
PGPT0013845,phaE,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_OSMOTIC_STRESS;OSMOTIC_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF01899
PGPT0013850,phaF,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_OSMOTIC_STRESS;OSMOTIC_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF04066
PGPT0013855,phaG,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_OSMOTIC_STRESS;OSMOTIC_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF03334
PGPT0013856,NHA1_like|SOD2_like,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF00999;PF08619;PF00067
PGPT0013860,cvrA|nhaP2,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_OSMOTIC_STRESS;OSMOTIC_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-POTASSIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF00999
PGPT0013865,czcO|noxC|yrdP|trkA|hapE,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-POTASSIUM_TRANSPORT,PF00743;PF13434;PF07992;PF13738
PGPT0013870,natB,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT,PF12679;PF12698;PF02517
PGPT0013875,natA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT,PF13304;PF00005
PGPT0013880,natK,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT,PF14501;PF14689
PGPT0013885,natR,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT,PF04397;PF00072
PGPT0013890,panS|yocS|ybaS,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT,PF03398;PF01758;PF13593
PGPT0013895,mnhA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF00420;PF00361;PF00662
PGPT0013900,mnhB,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF13244;PF04039
PGPT0013905,mnhC,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF00420
PGPT0013910,mnhD,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF00361
PGPT0013915,mnhE,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF01899
PGPT0013920,mnhF,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF04066
PGPT0013925,mnhG,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF03334;PF02080
PGPT0013930,nhaK|TC_CPA1,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-CATION_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF00027;PF00999
PGPT0013935,nhaA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF00027;PF01323;PF06965;PF13462
PGPT0013940,nhaB,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF03600;PF06450
PGPT0013945,nhaC,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF03553
PGPT0013946,nhaR,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT,PF00126;PF03466
PGPT0013950,TC_NSS,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT,PF00209
PGPT0013955,TC_SSS|yerK|opuE,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-PROLINE_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_AMINO_ACID_TRANSPORT;PLANT_DERIVED_PROLINE_TRANSPORT,PF00474
PGPT0013960,TC_DASS|yflS,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-KETO-|OXOGLUTARATE_TRANSPORT#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-MALIC_ACID_TRASNPORT#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-KETO-|OXOGLUTARATE_TRANSPORT#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILISATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-MALIC_ACID_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_TRANSPORT;PLANT_DERIVED_KETO-|OXOGLUTARATE_TRANSPORT#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_TRANSPORT;PLANT_DERIVED_MALATE_TRANSPORT,PF03600;PF00027;PF00939
PGPT0013965,TC_DAACS,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_SYMPORTER#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_AMINO_ACID_TRANSPORT;PLANT_DERIVED_GENERAL_AMINO_ACID_TRANSPORT,PF00497;PF00375
PGPT0013970,putP|ycgO,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-PROLINE_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_AMINO_ACID_TRANSPORT;PLANT_DERIVED_PROLINE_TRANSPORT,PF00474
PGPT0013975,nqrA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-SODIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-CATION_TRANSPORT,PF05896
PGPT0013980,TMEM165|gdt1,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-CALCIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF14432;PF01535;PF12854;PF13041;PF13812;PF17177;PF01169
PGPT0013985,chaA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-CALCIUM_TRANSPORT#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-H+_ANTIPORTER,PF01699;PF03733
PGPT0013990,yloB|ctpA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-CALCIUM_TRANSPORT,PF13246;PF00689;PF00690;PF00122;PF00702
PGPT0013995,mgtE,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-MAGNESIUM_TRANSPORT,PF00571;PF01769;PF03448
PGPT0014000,mgtE_like,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-MAGNESIUM_TRANSPORT,PF01769
PGPT0014005,mgtC,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-MAGNESIUM_TRANSPORT,PF02308;PF04536
PGPT0014010,corA|yfjQ,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-MAGNESIUM_TRANSPORT,PF01544
PGPT0014011,mpfA|yhdP,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-MAGNESIUM_TRANSPORT,PF00571;PF03471;PF01595
PGPT0014012,yhdT,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-MAGNESIUM_TRANSPORT,PF00571;PF03471;PF01595
PGPT0014013,yrkA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-MAGNESIUM_TRANSPORT,PF00571;PF03471;PF01595
PGPT0014014,yugS,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-MAGNESIUM_TRANSPORT,PF00571;PF03471;PF01595
PGPT0014015,yfbK,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-CHLORIDE_TRANSPORT,PF13432;PF14559;PF08487;PF13519;PF13768
PGPT0014016,oprH,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-MAGNESIUM_TRANSPORT,PF13505
PGPT0014020,cmpA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-CARBONATE|BICARBONATE_TRANSPORT,PF13379
PGPT0014025,cmpB,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-CARBONATE|BICARBONATE_TRANSPORT,PF00528
PGPT0014030,cmpC,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-CARBONATE|BICARBONATE_TRANSPORT,PF00005;PF09084;PF13379
PGPT0014035,cmpD,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-CARBONATE|BICARBONATE_TRANSPORT,PF13401;PF00005
PGPT0014040,lysC,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-ECTOINE_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_AMINO_ACID_UTILIZATION;PLANT_DERIVED_ASPARTATE_DEGRADATION,PF00696
PGPT0014045,asd,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-ECTOINE_METABOLISM,PF01416;PF01118;PF02774
PGPT0014046,doeA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-ECTOINE_METABOLISM,PF01321;PF00557
PGPT0014047,doeB,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-ECTOINE_METABOLISM,PF04952;PF00892
PGPT0014048,doeC,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-ECTOINE_METABOLISM,PF00171
PGPT0014049,doeX,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-ECTOINE_METABOLISM,PF01037;PF13412;PF13404
PGPT0014050,ectB|dat,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-ECTOINE_METABOLISM,PF00202;PF11251;PF14518;PF03070
PGPT0014055,ectA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-ECTOINE_METABOLISM,PF00583
PGPT0014060,ectC,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-ECTOINE_METABOLISM,PF06339
PGPT0014065,ectD,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-ECTOINE_METABOLISM,PF05721
PGPT0014070,EC_3_2_1_28|alpha_trehalase,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-TREHALOSE_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_CARBOHYDRATE-HEXOSES_UTILIZATION;PLANT_DERIVED_TREHALOSE_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_GLYCOSIDE_UTILIZATION;PLANT_DERIVED_GLYCOSIDE-GLYCOSIDASES|GLYCOSYLHYDROLASES#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_CELL_WALL|MEMBRANE_DEGRADATION;PLANT_DEGRADATIVE_GLYCOSIDASES|GLYCOSYLHYDROLASES;PLANT_DEGRADATIVE_GS|GH-TREHALASE#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-EXOPOLYSACCHARIDE_PRODUCTION|EPS;CE-EPS-GLYCOSIDASES|GLYCOSYLHYDROLASES;CE-EPS-TREHALASE,PF19291;PF00723
PGPT0014075,treB,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-TREHALOSE_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_CARBOHYDRATE-HEXOSES_UTILIZATION;PLANT_DERIVED_TREHALOSE_METABOLISM,PF00358;PF00367;PF02378
PGPT0014080,treP,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-TREHALOSE_METABOLISM,PF03633;PF03632;PF03636;PF13419;PF00702;PF13242
PGPT0014085,otsB|otsA|tpsA,PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-TREHALOSE_METABOLISM,PF00686;PF00982;PF13540;PF02358
